ts,gross_return,net_return_20bps,spot_price_pnl,perp_price_pnl,funding_pnl,spot_turnover,perp_turnover,total_turnover,gross_exposure
2024-10-06 16:00:00,0.0001489912091126628,0.0001489912091126628,0.006894721661042505,-0.00677713275962215,3.14023076923077e-05,0.0,0.0,0.0,0.9999999999999998
2024-10-07 00:00:00,-8.917415492455568e-05,-8.917415492455568e-05,0.0004412192719727704,-0.0005705384268973261,4.0144999999999996e-05,0.0,0.0,0.0,0.9999999999999998
2024-10-07 08:00:00,-1.2213543994303352e-06,-1.2213543994303352e-06,0.008995113071803494,-0.009038774426202925,4.244e-05,0.0,0.0,0.0,0.9999999999999998
2024-10-07 16:00:00,0.00013217691925873274,0.00013217691925873274,-0.0023572021353184857,0.00245437251611568,3.500653846153846e-05,0.0,0.0,0.0,0.9999999999999998
2024-10-08 00:00:00,7.076895396894445e-05,7.076895396894445e-05,-0.010716713216752395,0.010749875247644416,3.7606923076923084e-05,0.0,0.0,0.0,0.9999999999999998
2024-10-08 08:00:00,-1.362108399721415e-05,-1.362108399721415e-05,-0.0009633566096881381,0.0009027986026140009,4.693692307692308e-05,0.0,0.0,0.0,0.9999999999999998
2024-10-08 16:00:00,1.0237951439221012e-05,1.0237951439221012e-05,-0.002905337727440718,0.0028773418327260928,3.823384615384616e-05,0.0,0.0,0.0,0.9999999999999998
2024-10-09 00:00:00,9.947417380089111e-05,9.947417380089111e-05,0.001881875887257215,-0.001821288636533247,3.888692307692308e-05,0.0,0.0,0.0,0.9999999999999998
2024-10-09 08:00:00,5.198676141550242e-05,5.198676141550242e-05,-0.00020454314016351486,0.0002201783631174788,3.635153846153847e-05,0.0,0.0,0.0,0.9999999999999998
2024-10-09 16:00:00,5.889930219291558e-05,5.889930219291558e-05,0.00024527252950203374,-0.00022728591961681047,4.091269230769231e-05,0.0,0.0,0.0,0.9999999999999998
2024-10-10 00:00:00,3.241954966992151e-05,3.241954966992151e-05,-0.012689053869124221,0.012685286111101835,3.61873076923077e-05,0.0,0.0,0.0,0.9999999999999998
2024-10-10 08:00:00,4.927855007551923e-06,4.927855007551923e-06,0.0013937360259808544,-0.0014131689402040717,2.4360769230769235e-05,0.0,0.0,0.0,0.9999999999999998
2024-10-10 16:00:00,2.426975413378657e-05,2.426975413378657e-05,0.001705840195023392,-0.0017015212101203748,1.9950769230769238e-05,0.0,0.0,0.0,0.9999999999999998
2024-10-11 00:00:00,0.00010405418072899274,0.00010405418072899274,-9.550581194172757e-05,0.0001744876849784126,2.5072307692307695e-05,0.0,0.0,0.0,0.9999999999999998
2024-10-11 08:00:00,-4.646626981392417e-05,-4.646626981392417e-05,0.003748589184559205,-0.0038216000697577444,2.6544615384615385e-05,0.0,0.0,0.0,0.9999999999999998
2024-10-11 16:00:00,3.4595890131141745e-05,3.4595890131141745e-05,0.008290242620795571,-0.00827258096143366,1.6934230769230772e-05,0.0,0.0,0.0,0.9999999999999998
2024-10-12 00:00:00,-2.225237493926259e-05,-2.225237493926259e-05,0.00021557227523072436,-0.00027870195786229465,4.08773076923077e-05,0.0,0.0,0.0,0.9999999999999998
2024-10-12 08:00:00,-2.293309948112243e-05,-2.293309948112243e-05,0.001581177356830392,-0.0016516785332345914,4.756807692307692e-05,0.0,0.0,0.0,0.9999999999999998
2024-10-12 16:00:00,7.716673021769622e-05,7.716673021769622e-05,0.0063126371893155436,-0.006278156997559386,4.2686538461538464e-05,0.0,0.0,0.0,0.9999999999999998
2024-10-13 00:00:00,1.2376140030878824e-05,1.2376140030878824e-05,0.003113096583392974,-0.0031451135202851723,4.4393076923076924e-05,0.0,0.0,0.0,0.9999999999999998
2024-10-13 08:00:00,-3.582183980953282e-05,-3.582183980953282e-05,-0.0015694182533074967,0.0014874825673441177,4.611384615384615e-05,0.0,0.0,0.0,0.9999999999999998
2024-10-13 16:00:00,0.00014889105718385342,0.00014889105718385342,-0.011267469808022398,0.011388612788283174,2.7748076923076933e-05,0.0,0.0,0.0,0.9999999999999998
2024-10-14 00:00:00,7.832100820468525e-05,7.832100820468525e-05,0.006735462319589906,-0.0066959555421544515,3.8814230769230776e-05,0.0,0.0,0.0,0.9999999999999998
2024-10-14 08:00:00,4.803065787008581e-05,4.803065787008581e-05,0.00939845171434449,-0.009394386056474404,4.3965000000000003e-05,0.0,0.0,0.0,0.9999999999999998
2024-10-14 16:00:00,-0.00013681358537745685,-0.00013681358537745685,0.013646130063849217,-0.013831790187688212,4.884653846153846e-05,0.0,0.0,0.0,0.9999999999999998
2024-10-15 00:00:00,4.761825862376997e-05,4.761825862376997e-05,0.001959448358944737,-0.001961830100320967,4.9999999999999996e-05,0.0,0.0,0.0,0.9999999999999998
2024-10-15 08:00:00,-2.6590424813138037e-05,-2.6590424813138037e-05,-0.0025577407069993915,0.002478358743724715,5.279153846153846e-05,0.0,0.0,0.0,0.9999999999999998
2024-10-15 16:00:00,0.00012069014537549982,0.00012069014537549982,-0.006585982419711495,0.006656672565086995,4.9999999999999996e-05,0.0,0.0,0.0,0.9999999999999998
2024-10-16 00:00:00,0.00011659874204785225,0.00011659874204785225,0.009881621792202979,-0.009813847280924357,4.882423076923077e-05,0.0,0.0,0.0,0.9999999999999998
2024-10-16 08:00:00,5.654301543847624e-05,5.654301543847624e-05,-0.00466607930797938,0.004675665784956318,4.695653846153846e-05,0.0,0.0,0.0,0.9999999999999998
2024-10-16 16:00:00,4.8939761714859414e-05,4.8939761714859414e-05,0.00016633386590946193,-0.00016735756573306405,4.996346153846154e-05,0.0,0.0,0.0,0.9999999999999998
2024-10-17 00:00:00,-3.2750850784570883e-06,-3.2750850784570883e-06,0.0006226587312536242,-0.0006738488163320813,4.7915e-05,0.0,0.0,0.0,0.9999999999999998
2024-10-17 08:00:00,9.685140039558118e-05,9.685140039558118e-05,-0.002953637034182837,0.003004041511501495,4.6446923076923074e-05,0.0,0.0,0.0,0.9999999999999998
